Model,Condition,Best Test Accuracy (%),Best Epoch,Final Train Accuracy (%)
Base setup,sologroup,75.04,0,74.79
Base setup,friendship,68.61,14,98.54
Base setup,feedback,81.81,46,99.17
Base setup,gender,83.08,15,98.62
Scratch setup,sologroup,75.04,0,74.79
Scratch setup,friendship,66.55,21,98.64
Scratch setup,feedback,77.3,17,99.56
Scratch setup,gender,85.43,0,98.64
Hybrid setup,sologroup,75.04,0,89.6
Hybrid setup,friendship,66.44,0,98.62
Hybrid setup,feedback,74.41,33,99.34
Hybrid setup,gender,84.18,31,98.66
